"a_intercept","type","coverage","mse","bias","sd","mean_se"
-2.5,"Debiased ICE-IPCW",0.934,0.00152,-0.000453,0.0389,0.0379
-2.5,"Inverse Probability Weighting",,0.00152,-0.000568,0.039,
-2.5,"ICE-IPCW",,0.00142,-0.000571,0.0377,
-1.1,"Debiased ICE-IPCW",0.944,0.0005,-0.000126,0.0224,0.0223
-1.1,"Inverse Probability Weighting",,0.000499,-0.000161,0.0224,
-1.1,"ICE-IPCW",,0.000493,-0.000163,0.0222,
-0.5,"Debiased ICE-IPCW",0.943,0.000364,0.0000787,0.0191,0.0191
-0.5,"Inverse Probability Weighting",,0.000364,0.0000805,0.0191,
-0.5,"ICE-IPCW",,0.000361,0.0000855,0.019,
0.3,"Debiased ICE-IPCW",0.95,0.000274,0.000195,0.0166,0.0166
0.3,"Inverse Probability Weighting",,0.000275,0.000193,0.0166,
0.3,"ICE-IPCW",,0.000274,0.000192,0.0166,
1.1,"Debiased ICE-IPCW",0.949,0.000235,-0.0002,0.0153,0.0153
1.1,"Inverse Probability Weighting",,0.000235,-0.000183,0.0153,
1.1,"ICE-IPCW",,0.000234,-0.0002,0.0153,
