"effect_A_on_Y","type","coverage","mse","bias","sd","mean_se"
-0.3,"Debiased ICE-IPCW",0.939,0.0000679,0.0000879,0.00824,0.00823
-0.3,"LTMLE (grid size = 8)",,,,,
-0.3,"Naive Cox",,0.0000662,0.0000809,0.00813,
-0.3,"Inverse Probability Weighting",,0.0000679,0.0000899,0.00824,
-0.3,"ICE-IPCW",,0.000068,0.0000953,0.00824,
0,"Debiased ICE-IPCW",0.944,0.0000905,0.0000903,0.00951,0.00945
0,"LTMLE (grid size = 8)",,,,,
0,"Naive Cox",,0.0000872,0.0000289,0.00934,
0,"Inverse Probability Weighting",,0.0000904,0.0000895,0.00951,
0,"ICE-IPCW",,0.0000903,0.0000908,0.0095,
0.3,"Debiased ICE-IPCW",0.953,0.000115,-0.000143,0.0107,0.0108
0.3,"LTMLE (grid size = 8)",0.947,0.000107,-0.000949,0.0103,0.0104
0.3,"Naive Cox",,0.00011,-0.0002,0.0105,
0.3,"Inverse Probability Weighting",,0.000114,-0.000141,0.0107,
0.3,"ICE-IPCW",,0.000114,-0.000149,0.0107,
