"effect_A_on_Y","type","coverage","mse","bias","sd","mean_se"
-0.3,"Debiased ICE-IPCW",0.948,0.000251,-0.000355,0.0158,0.0158
-0.3,"LTMLE (grid size = 8)",0.948,0.000241,0.00174,0.0154,0.0154
-0.3,"Naive Cox",,0.000243,-0.000436,0.0156,
-0.3,"Inverse Probability Weighting",,0.00025,-0.000352,0.0158,
-0.3,"ICE-IPCW",,0.00025,-0.000357,0.0158,
0,"Debiased ICE-IPCW",0.943,0.000299,0.0000293,0.0173,0.0171
0,"LTMLE (grid size = 8)",0.943,0.000288,0.0000756,0.017,0.0167
0,"Naive Cox",,0.000291,-0.000118,0.0171,
0,"Inverse Probability Weighting",,0.000299,0.0000382,0.0173,
0,"ICE-IPCW",,0.000298,0.0000401,0.0173,
0.3,"Debiased ICE-IPCW",0.95,0.000316,-0.000334,0.0178,0.018
0.3,"LTMLE (grid size = 8)",0.943,0.000311,-0.00267,0.0174,0.0176
0.3,"Naive Cox",,0.000308,-0.000491,0.0175,
0.3,"Inverse Probability Weighting",,0.000316,-0.000318,0.0178,
0.3,"ICE-IPCW",,0.000316,-0.000321,0.0178,
