"n","type","coverage","mse","bias","sd","mean_se"
100,"Debiased ICE-IPCW",0.934,0.00325,0.000382,0.0571,0.0555
100,"Inverse Probability Weighting",,0.00326,0.000592,0.0571,
100,"ICE-IPCW",,0.00316,0.000521,0.0562,
200,"Debiased ICE-IPCW",0.947,0.00152,-0.000339,0.039,0.039
200,"Inverse Probability Weighting",,0.00152,-0.000304,0.039,
200,"ICE-IPCW",,0.00151,-0.000265,0.0388,
500,"Debiased ICE-IPCW",0.95,0.000599,0.000325,0.0245,0.0246
500,"Inverse Probability Weighting",,0.000599,0.000354,0.0245,
500,"ICE-IPCW",,0.000598,0.000344,0.0245,
1000,"Debiased ICE-IPCW",0.952,0.000303,0.000142,0.0174,0.0174
1000,"Inverse Probability Weighting",,0.000303,0.000139,0.0174,
1000,"ICE-IPCW",,0.000302,0.000136,0.0174,
