"effect_L_on_Y","type","coverage","mse","bias","sd","mean_se"
-0.5,"Debiased ICE-IPCW",0.952,0.000217,0.000242,0.0147,0.0147
-0.5,"LTMLE (grid size = 8)",0.954,0.000208,0.00184,0.0143,0.0144
-0.5,"Naive Cox",,0.000213,0.00103,0.0146,
-0.5,"Inverse Probability Weighting",,0.000217,0.000247,0.0147,
-0.5,"ICE-IPCW",,0.000217,0.00025,0.0147,
0,"Debiased ICE-IPCW",0.951,0.000249,-0.000058,0.0158,0.016
0,"LTMLE (grid size = 8)",0.951,0.000246,0.00221,0.0155,0.0155
0,"Naive Cox",,0.000241,-0.000157,0.0155,
0,"Inverse Probability Weighting",,0.00025,-0.0000529,0.0158,
0,"ICE-IPCW",,0.000249,-0.0000394,0.0158,
0.5,"Debiased ICE-IPCW",0.952,0.0003,0.0000843,0.0173,0.0173
0.5,"LTMLE (grid size = 8)",0.95,0.000291,0.00294,0.0168,0.0168
0.5,"Naive Cox",,0.00029,-0.00121,0.017,
0.5,"Inverse Probability Weighting",,0.0003,0.0000887,0.0173,
0.5,"ICE-IPCW",,0.0003,0.0000858,0.0173,
