"effect_A_on_L","type","coverage","mse","bias","sd","mean_se"
-0.2,"ICE-IPCW (deb.)",0.946,0.000338,0.000135,0.0184,0.0181
,"LTMLE",0.943,0.000335,0.00268,0.0181,0.0177
,"Naive Cox",,0.000371,-0.00692,0.018,
,"ICE-IPCW",,0.000338,0.000111,0.0184,
0,"ICE-IPCW (deb.)",0.951,0.000328,-0.000253,0.0181,0.0184
,"LTMLE",0.95,0.000328,0.00224,0.018,0.018
,"Naive Cox",,0.000374,-0.00761,0.0178,
,"ICE-IPCW",,0.000328,-0.000271,0.0181,
0.2,"ICE-IPCW (deb.)",0.952,0.000345,0.0000732,0.0186,0.0186
,"LTMLE",0.949,0.000346,0.00241,0.0184,0.0184
,"Naive Cox",,0.000385,-0.00739,0.0182,
,"ICE-IPCW",,0.000345,0.0000591,0.0186,
