"effect_L_on_A","type","coverage","mse","bias","sd","mean_se"
-0.2,"ICE-IPCW (deb.)",0.946,0.000338,0.000135,0.0184,0.0181
,"LTMLE",0.943,0.000335,0.00268,0.0181,0.0177
,"Naive Cox",,0.000371,-0.00692,0.018,
,"ICE-IPCW",,0.000338,0.000111,0.0184,
0,"ICE-IPCW (deb.)",0.95,0.000314,-0.0000606,0.0177,0.0177
,"LTMLE",0.948,0.000311,0.00237,0.0175,0.0174
,"Naive Cox",,0.000334,-0.00549,0.0174,
,"ICE-IPCW",,0.000314,-0.0000728,0.0177,
0.2,"ICE-IPCW (deb.)",0.951,0.000294,-0.0000466,0.0171,0.0173
,"LTMLE",0.952,0.000292,0.00221,0.0169,0.0172
,"Naive Cox",,0.000304,-0.00398,0.017,
,"ICE-IPCW",,0.000294,-0.000061,0.0171,
