"effect_A_on_Y","effect_L_on_Y","effect_L_on_A","baseline_rate_C","model_type","type","coverage","mse","bias","sd","mean_se"
-0.3,0.5,-0.2,0.0002,"Scaled quasibinomial","ICE-IPCW (deb.)",0.947,0.000366,-0.0000193,0.0191,0.0191
,,,,"Scaled quasibinomial","ICE-IPCW",,0.000366,-0.0000325,0.0191,
,,,,"Tweedie","ICE-IPCW (deb.)",0.951,0.000365,0.000147,0.0191,0.0191
,,,,"Tweedie","ICE-IPCW",,0.000363,0.000309,0.019,
,,,,"Linear model","ICE-IPCW (deb.)",0.951,0.000359,-0.0000635,0.0189,0.0191
,,,,"Linear model","ICE-IPCW",,0.000355,0.00131,0.0188,
-0.3,0.5,-0.2,0.0005,"Scaled quasibinomial","ICE-IPCW (deb.)",0.955,0.000407,0.000269,0.0202,0.0207
,,,,"Scaled quasibinomial","ICE-IPCW",,0.000406,0.000267,0.0201,
,,,,"Tweedie","ICE-IPCW (deb.)",0.951,0.000418,-0.0000654,0.0204,0.0207
,,,,"Tweedie","ICE-IPCW",,0.000415,0.00019,0.0204,
,,,,"Linear model","ICE-IPCW (deb.)",0.953,0.00041,-0.0000158,0.0203,0.0207
,,,,"Linear model","ICE-IPCW",,0.000405,0.0014,0.0201,
-0.3,0.5,-0.2,0.0008,"Scaled quasibinomial","ICE-IPCW (deb.)",0.953,0.000477,0.000144,0.0218,0.0224
,,,,"Scaled quasibinomial","ICE-IPCW",,0.000476,0.000178,0.0218,
,,,,"Tweedie","ICE-IPCW (deb.)",0.954,0.000472,-0.000185,0.0217,0.0223
,,,,"Tweedie","ICE-IPCW",,0.000468,0.000195,0.0216,
,,,,"Linear model","ICE-IPCW (deb.)",0.955,0.000474,-0.000173,0.0218,0.0224
,,,,"Linear model","ICE-IPCW",,0.000468,0.00129,0.0216,
0,0,0,0.0002,"Scaled quasibinomial","ICE-IPCW (deb.)",0.952,0.000335,0.000588,0.0183,0.0185
,,,,"Scaled quasibinomial","ICE-IPCW",,0.000335,0.000581,0.0183,
,,,,"Tweedie","ICE-IPCW (deb.)",0.947,0.000342,-0.0000435,0.0185,0.0185
,,,,"Tweedie","ICE-IPCW",,0.00034,-0.00000492,0.0185,
,,,,"Linear model","ICE-IPCW (deb.)",0.952,0.000338,0.000159,0.0184,0.0185
,,,,"Linear model","ICE-IPCW",,0.000336,0.00115,0.0183,
0,0,0,0.0005,"Scaled quasibinomial","ICE-IPCW (deb.)",0.95,0.000388,0.000327,0.0197,0.0199
,,,,"Scaled quasibinomial","ICE-IPCW",,0.000388,0.000333,0.0197,
,,,,"Tweedie","ICE-IPCW (deb.)",0.954,0.000388,0.000538,0.0197,0.0199
,,,,"Tweedie","ICE-IPCW",,0.000386,0.000588,0.0196,
,,,,"Linear model","ICE-IPCW (deb.)",0.953,0.000389,0.000559,0.0197,0.02
,,,,"Linear model","ICE-IPCW",,0.000389,0.00169,0.0196,
0,0,0,0.0008,"Scaled quasibinomial","ICE-IPCW (deb.)",0.957,0.000428,0.0000502,0.0207,0.0215
,,,,"Scaled quasibinomial","ICE-IPCW",,0.000427,0.000058,0.0207,
,,,,"Tweedie","ICE-IPCW (deb.)",0.956,0.000439,0.000573,0.0209,0.0215
,,,,"Tweedie","ICE-IPCW",,0.000435,0.000644,0.0208,
,,,,"Linear model","ICE-IPCW (deb.)",0.952,0.000439,0.000145,0.0209,0.0215
,,,,"Linear model","ICE-IPCW",,0.000437,0.00138,0.0209,
