"effect_A_on_Y","type","coverage","mse","bias","sd","mean_se"
-0.3,"Debiased ICE-IPCW",0.942,0.0000681,0.0000409,0.00825,0.00822
,"LTMLE (grid size = 8)",,,,,
,"Naive Cox",,0.0000661,0.0000378,0.00813,
,"Inverse Probability Weighting",,0.000068,0.0000407,0.00825,
,"ICE-IPCW",,0.0000681,0.0000487,0.00825,
0,"Debiased ICE-IPCW",0.949,0.0000886,0.000172,0.00941,0.00944
,"LTMLE (grid size = 8)",,,,,
,"Naive Cox",,0.0000857,0.000112,0.00926,
,"Inverse Probability Weighting",,0.0000885,0.000171,0.00941,
,"ICE-IPCW",,0.0000884,0.000177,0.0094,
0.3,"Debiased ICE-IPCW",0.95,0.000116,0.0000599,0.0108,0.0108
,"LTMLE (grid size = 8)",0.945,0.000109,-0.0007,0.0104,0.0104
,"Naive Cox",,0.000112,0.0000182,0.0106,
,"Inverse Probability Weighting",,0.000116,0.0000591,0.0108,
,"ICE-IPCW",,0.000116,0.0000643,0.0108,
